time	rv	err
2458116.8	-0.12900601426014302	1.0
2458141.15	1.3795787821368113	1.0
2458165.5	0.0591535908710667	1.0
2458189.85	0.06094591050852516	1.0
2458214.2	0.1767253430331004	1.0
2458238.55	0.6768263650127315	1.0
2458262.9	3.185443979718636	1.0
2458287.25	7.500787801368806	1.0
2458311.6	6.932470938870702	1.0
2458335.95	2.4353867338623756	1.0
2458360.3	2.0968529411338794	1.0
2458384.65	9.96372578771382	1.0
2458409.0	7.928570936582638	1.0
2458433.35	9.585964376177234	1.0
2458457.7	6.7602914288653935	1.0
2458482.05	6.742431902857294	1.0
2458506.4	7.489542420289255	1.0
2458530.75	8.115391618566422	1.0
2458555.1	14.46854259297216	1.0
2458579.45	7.679734616075857	1.0
2458603.8	11.838360434271367	1.0
2458628.15	8.504102328389363	1.0
